,emp_title,emp_length,state,homeownership
0,global config engineer ,3.0,NJ,MORTGAGE
1,warehouse office clerk,10.0,HI,RENT
2,assembly,3.0,WI,RENT
3,customer service,1.0,PA,RENT
4,security supervisor ,10.0,CA,RENT
5,,,KY,OWN
6,hr ,10.0,MI,MORTGAGE
7,police,10.0,AZ,MORTGAGE
8,parts,10.0,NV,MORTGAGE
9,4th person,3.0,IL,RENT
10,supervisor,10.0,IL,MORTGAGE
11,register nurse,2.0,FL,MORTGAGE
12,respiratory therapist & sleep lab tech,5.0,SC,MORTGAGE
13,senior inspector,10.0,CO,MORTGAGE
14,,,FL,MORTGAGE
15,dental hygienist,10.0,TN,MORTGAGE
16,,,NV,MORTGAGE
17,onsite medical ,3.0,NV,RENT
18,operational risk manager,10.0,IL,MORTGAGE
19,welder,1.0,CA,MORTGAGE
20,maintenance adm assistant,10.0,KY,MORTGAGE
21,warranty administrator,1.0,NV,MORTGAGE
22,underwriter,5.0,NJ,MORTGAGE
23,,,TX,MORTGAGE
24,program analyst ,10.0,VA,RENT
25,surveyor/cadd tech,7.0,PA,MORTGAGE
26,associated ,1.0,NY,RENT
27,inventory control specialist,5.0,IL,RENT
28,inventory control,3.0,GA,RENT
29,sr direct supoort professional,4.0,MO,MORTGAGE
30,director of operations,4.0,CA,MORTGAGE
31,hospitalist,3.0,TX,MORTGAGE
32,teacher,9.0,AR,MORTGAGE
33,controller,3.0,SC,MORTGAGE
34,deputy,10.0,CA,MORTGAGE
35,armed protection officer ,1.0,MD,OWN
36,driver,2.0,MD,RENT
37,supplies clerk,10.0,NJ,MORTGAGE
38,loan consultant ,2.0,PA,RENT
39,bank coordinator,2.0,CA,RENT
40,,,MI,MORTGAGE
41,senior recruiter,5.0,MD,RENT
42,reader advisor,10.0,VA,RENT
43,truck driver,2.0,TX,RENT
44,sales,4.0,TX,MORTGAGE
45,director of support services,10.0,NC,OWN
46,rn,2.0,FL,MORTGAGE
47,police recruit,0.0,TX,RENT
48,lead teller,2.0,NE,RENT
49,registered nurse,6.0,NC,MORTGAGE
50,hes advisor ,2.0,TX,MORTGAGE
51,sr admin assistant,10.0,TX,RENT
52,president,2.0,CA,RENT
53,hvac technician,10.0,GA,MORTGAGE
54,nurse assistant,5.0,NC,MORTGAGE
55,,,FL,OWN
56,driver,8.0,NJ,MORTGAGE
57,gourmet food server,10.0,NV,MORTGAGE
58,,,NV,MORTGAGE
59,program manager,10.0,CO,RENT
60,deputy assessor ,8.0,WV,MORTGAGE
61,service tech,10.0,MD,OWN
62,senior technically writer,1.0,VA,RENT
63,rn,10.0,VA,MORTGAGE
64,escrow manager,10.0,CA,MORTGAGE
65,quality control,0.0,PA,MORTGAGE
66,medical billing account rep,10.0,FL,MORTGAGE
67,truck driver,5.0,IL,MORTGAGE
68,general manager,5.0,NH,MORTGAGE
69,bartender,0.0,UT,RENT
70,,,DE,OWN
71,interpreter/translator/school enrolment ,0.0,MA,RENT
72,accounts receivable manager,3.0,NJ,RENT
73,asst to the director of theatre,3.0,KY,RENT
74,rn,2.0,NC,MORTGAGE
75,warehouse,10.0,FL,MORTGAGE
76,,,OR,RENT
77,operations manager,0.0,OH,RENT
78,administrative assistant,9.0,TX,MORTGAGE
79,composite tehnician,4.0,CA,MORTGAGE
80,pta,0.0,OK,MORTGAGE
81,service director,1.0,PA,MORTGAGE
82,it support,8.0,TX,MORTGAGE
83,senior accounts payable clerk,10.0,FL,MORTGAGE
84,master driver,10.0,VA,MORTGAGE
85,teacher,10.0,SD,OWN
86,physician assistant,10.0,MO,MORTGAGE
87,credit analyst,2.0,IL,MORTGAGE
88,rca,5.0,TX,OWN
89,cabinet maker/installer,8.0,FL,RENT
90,benefits representative,2.0,AZ,RENT
91,mechanic,10.0,NY,MORTGAGE
92,superintendent -customer operations,10.0,NJ,OWN
93,teller,5.0,IL,RENT
94,,,MN,RENT
95,territory manager,3.0,TX,MORTGAGE
96,sr engineer,10.0,CO,RENT
97,office manager,10.0,MA,MORTGAGE
98,petroleum operator ,10.0,NJ,MORTGAGE
99,owner,10.0,MN,MORTGAGE
100,project manager,10.0,NY,OWN
101,driver/crane opeator,5.0,IL,RENT
102,audit manager,0.0,TX,MORTGAGE
103,cfo,4.0,TN,MORTGAGE
104,qa auditor,10.0,NH,MORTGAGE
105,line cook,1.0,SC,RENT
106,supervisor of technical trades,2.0,NY,MORTGAGE
107,crew chief ,2.0,FL,MORTGAGE
108,owner,2.0,TX,RENT
109,bus operator ,10.0,TX,RENT
110,web developer,2.0,FL,RENT
111,educator,10.0,AL,MORTGAGE
112,,,WY,RENT
113,construction manager ,5.0,CA,RENT
114,education specialist,0.0,PA,MORTGAGE
115,ceo,4.0,CA,RENT
116,account administrator,10.0,CO,MORTGAGE
117,driver,10.0,NY,RENT
118,,,MO,MORTGAGE
119,manager,4.0,FL,OWN
120,school administrator,10.0,MO,MORTGAGE
121,qc lead,4.0,CA,MORTGAGE
122,planning supervisor ,10.0,NY,MORTGAGE
123,pipefitter,1.0,MA,RENT
124,owner,3.0,TN,RENT
125,senior engagement lead,10.0,NJ,OWN
126,attorney,4.0,LA,MORTGAGE
127,bank teller,0.0,OH,MORTGAGE
128,field service engineer ,1.0,MA,RENT
